Protein.IDs	Majority.protein.IDs	Peptide.counts..all.	Peptide.counts..razor.unique.	Peptide.counts..unique.	Protein.names	Gene.names	con_0h_5	con_0h_6	con_0h_7	con_2h_1	con_2h_3	con_2h_4	con_6h_1	con_6h_3	con_6h_4	con_12h_1	con_12h_3	con_12h_4	con_18h_1	con_18h_3	con_18h_4	con_24h_1	con_24h_3	con_24h_4	IKA_0h_5	IKA_0h_6	IKA_0h_7	IKA_2h_1	IKA_2h_3	IKA_2h_4	IKA_6h_1	IKA_6h_3	IKA_6h_4	IKA_12h_1	IKA_12h_3	IKA_12h_4	IKA_18h_1	IKA_18h_3	IKA_18h_4	IKA_24h_1	IKA_24h_3	IKA_24h_4
Q8K3I9	Q8K3I9	1	1	1	Glucocorticoid-induced transcript 1 protein	Glcci1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.3817842784026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.4992105322076	NA	NA	NA	NA	NA	NA	NA	NA
Q91WK5	Q91WK5	2	2	2	Glycine cleavage system H protein, mitochondrial	Gcsh	NA	NA	NA	NA	NA	17.8788472423041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.6294367547866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O70293;Q8VEB1	O70293;Q8VEB1	1;1	1;1	1;1	G protein-coupled receptor kinase 6;G protein-coupled receptor kinase 5	Grk6;Grk5	NA	NA	NA	19.4764855379442	NA	NA	7.02153360378577	7.6748486027816	7.77481513846114	8.28985569902987	8.23923964971477	7.3529045667328	NA	NA	19.2738380318914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
O35382	O35382	1	1	1	Exocyst complex component 4	Exoc4	7.38254510578976	6.68087626192009	7.59239388172629	7.09183464346776	7.06550524181731	7.62541597807334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.2718765301093	NA	NA	17.3827511575811	14.6072361742515	15.5843692025294	NA	NA	NA	NA	17.5764872962605	NA	NA	NA	NA	NA	NA	NA
Q8BVG4	Q8BVG4	1	1	1	Dipeptidyl peptidase 9	Dpp9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.500573391075	NA	NA	NA	NA	NA	NA	NA	NA	18.8445961172394	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8R080	Q8R080	1	1	1	G2 and S phase-expressed protein 1	Gtse1	NA	NA	14.3789587939871	16.366373543078	NA	NA	NA	NA	NA	NA	16.3506003456751	NA	NA	NA	NA	NA	NA	NA	16.8291779182947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E9Q5K9	E9Q5K9	2	2	2		Ythdc1	NA	NA	NA	20.6306400234058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.0113853556454	NA	NA
Q61168	Q61168	2	2	2	Lysosomal-associated transmembrane protein 5	Laptm5	NA	NA	NA	18.1800115150296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.0517944849977	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.3341132106187	NA	NA	NA	NA
Q8BWZ3	Q8BWZ3	1	1	1	N-alpha-acetyltransferase 25, NatB auxiliary subunit	Naa25	NA	NA	NA	NA	17.0216054729644	NA	7.44394382726048	6.65315364941808	7.2727547697385	8.07485122906358	8.27307560718682	7.6388616262072	NA	NA	NA	16.3645318107242	16.6381008142553	16.8300459029287	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9CQU0	Q9CQU0	2	2	2	Thioredoxin domain-containing protein 12	Txndc12	NA	NA	NA	NA	NA	NA	17.1681133027858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.9406263483136	NA
Q99LI2	Q99LI2	3	3	3	Chloride channel CLIC-like protein 1	Clcc1	NA	16.9157525024414	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.0499224097107	NA	NA	NA	NA	NA	19.31993986892	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8R2U0	Q8R2U0	1	1	1	Nucleoporin SEH1	Seh1l	NA	NA	NA	19.3798354694121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.5955383236405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q3UA37	Q3UA37	1	1	1	Glutamine-rich protein 1	Qrich1	NA	NA	NA	NA	NA	NA	NA	NA	18.0598940275078	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.823489516925	NA	NA	NA	NA	NA	NA	NA
Q9CZ42	Q9CZ42	2	2	2	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	Carkd	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.0971231141578	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.6477486982768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q64701	Q64701	1	1	1	Retinoblastoma-like protein 1	Rbl1	NA	NA	15.9834509417332	NA	NA	NA	7.342103770333	6.48957194678863	8.1284867866764	8.22578974162208	7.35214875878005	7.58645024278277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q91YL2	Q91YL2	2	2	2	E3 ubiquitin-protein ligase RNF126	Rnf126	15.7648146631241	15.4000604037363	15.6747522180109	NA	NA	NA	NA	NA	NA	16.9355571551348	17.4050768209378	17.3009513971285	NA	NA	NA	NA	NA	NA	NA	NA	18.6127641866135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8CCB4	Q8CCB4	1	1	1	Vacuolar protein sorting-associated protein 53 homolog	Vps53	NA	NA	NA	NA	NA	NA	17.9953104550801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.205986968889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q8CIM8	Q8CIM8	1	1	1	Integrator complex subunit 4	Ints4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.9717453374868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.9093639147098	NA	NA	NA	NA	NA	NA
Q8VBW6	Q8VBW6	2	2	2	NEDD8-activating enzyme E1 regulatory subunit	Nae1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.3246318500812	NA	NA	NA	NA	NA	NA	19.1239240729592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q3UQ44	Q3UQ44	4	2	2	Ras GTPase-activating-like protein IQGAP2	Iqgap2	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.4696987653171	18.2100853765597	18.4629529620284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.7183666295236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9CY28	Q9CY28	1	1	1	GTP-binding protein 8	Gtpbp8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.0973380309367	NA	NA	NA	NA	NA	NA	17.9872185690975	16.3755001646222	18.1021211106177	NA	NA	NA	NA	NA	NA	15.8089600371013	NA	NA
P37217	P37217	1	1	1	Early activation antigen CD69	Cd69	14.0648674236341	NA	NA	NA	NA	NA	NA	NA	NA	16.9819198420202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.0521344052773	NA	NA	NA	NA	NA	NA	NA	NA	17.8290606863782	18.8823398895705	17.8563974340502	NA	NA	NA
Q6A009	Q6A009	1	1	1	E3 ubiquitin-protein ligase listerin	Ltn1	NA	NA	NA	NA	18.98526186245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.7401275920262	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q61286	Q61286	1	1	1	Transcription factor 12	Tcf12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.127198984265	NA	NA	NA	NA	NA	NA	NA	NA	20.8017141738185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q01405	Q01405	3	2	2	Protein transport protein Sec23A	Sec23a	NA	16.3695710720295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.9120083881949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.0366206579932	19.5483360431111	18.0396668805891
Q9WVQ5	Q9WVQ5	2	2	2	Methylthioribulose-1-phosphate dehydratase	Apip	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.6168560247141	16.9232013820521	18.5301320389252	NA	NA	18.777478331626	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.2128809343823	NA	NA	NA	NA	NA	NA
Q9D706	Q9D706	1	1	1	RNA polymerase II-associated protein 3	Rpap3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.0524496730663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.6515317575628	NA	NA	NA	NA	NA	NA	NA	NA
Q8BPA8	Q8BPA8	1	1	1	Protein DPCD	Dpcd	NA	NA	NA	NA	NA	NA	NA	NA	18.89674390271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.2245639962538	NA	NA	NA	NA	NA	NA	15.1078736398089	NA	NA
P97864	P97864	1	1	1	Caspase-7;Caspase-7 subunit p20;Caspase-7 subunit p11	Casp7	NA	NA	17.1145651492738	NA	NA	NA	7.26891136985469	6.9313389619043	7.866747887021	8.20782137496753	7.62295354412757	7.50389586472658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q80Y44	Q80Y44	2	2	2	Probable ATP-dependent RNA helicase DDX10	Ddx10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.0085660558992	19.5494191463948	20.6243936505979	NA	NA	NA	NA	NA	NA	17.9937649660658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q9D2E2	Q9D2E2	1	1	1	Target of EGR1 protein 1	Toe1	NA	NA	14.5958325724686	17.2846212115912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.8681241982197	16.0838125789722	16.4800028896328	18.2937845809391	NA	NA	NA	NA	NA	NA	NA	NA	19.3097605144717	NA	NA	NA	NA	NA
Q9R062	Q9R062	1	1	1	Glycogenin-1	Gyg1	5.60517145495344	7.22729908643913	6.97495879282565	6.84509162518731	7.91071084736339	7.64296264959497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.743811238669	NA	NA	NA	NA	NA	NA	20.7406790180814	NA	NA	NA	NA	NA	NA	NA
P62071	P62071	1	1	1	Ras-related protein R-Ras2	Rras2	NA	NA	NA	NA	NA	19.7837312548959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.703789378159	NA	19.6285097101731	NA	NA	NA	NA	NA	18.1966582545494	NA	NA
O88874	O88874	1	1	1	Cyclin-K	Ccnk	13.5809542250421	14.9130069723701	16.7839871244516	NA	NA	NA	NA	NA	NA	16.527778983005	15.5203474486334	17.3371319883075	17.0215862246877	NA	NA	NA	NA	NA	16.1966046228564	14.1124292939324	15.6649806111959	18.6396742050262	14.4252479872809	16.4710156717812	NA	NA	NA	NA	NA	NA	NA	NA	16.1222705872068	NA	NA	NA
Q8K3A9	Q8K3A9	1	1	1	7SK snRNA methylphosphate capping enzyme	Mepce	NA	NA	NA	NA	NA	NA	NA	15.4397973963419	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.5989275063456	16.605847492422	18.595261416851	17.9611541196471	18.4982909304787	18.4185602605832	NA	NA	NA	15.9184854044639	17.0934604371618	17.0637756249301
Q6P6J9	Q6P6J9	1	1	1	Thioredoxin domain-containing protein 15	Txndc15	17.1317705542301	16.5688698446334	16.9976798444116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.3179469122541	NA	NA	NA	NA	NA	16.8840584344137	NA	NA	NA	NA	NA	NA	NA	18.8434768533633	18.7361835810334	17.9812175511011	NA	NA	NA	NA	NA	NA
