Protein.IDs	Majority.protein.IDs	Peptide.counts..all.	Peptide.counts..razor.unique.	Peptide.counts..unique.	Protein.names	Gene.names	con_0h_5	con_0h_6	con_0h_7	con_2h_1	con_2h_3	con_2h_4	con_6h_1	con_6h_3	con_6h_4	con_12h_1	con_12h_3	con_12h_4	con_18h_1	con_18h_3	con_18h_4	con_24h_1	con_24h_3	con_24h_4	IKA_0h_5	IKA_0h_6	IKA_0h_7	IKA_2h_1	IKA_2h_3	IKA_2h_4	IKA_6h_1	IKA_6h_3	IKA_6h_4	IKA_12h_1	IKA_12h_3	IKA_12h_4	IKA_18h_1	IKA_18h_3	IKA_18h_4	IKA_24h_1	IKA_24h_3	IKA_24h_4
P13516;P13011	P13516;P13011	4;4	4;4	4;4	Acyl-CoA desaturase 1;Acyl-CoA desaturase 2	Scd1;Scd2	19.5487286596226	22.726364112504	19.890516710021	17.9932188263503	18.6570169961201	19.6364274368693	15.7177140620883	20.2201102846305	18.5422233848921	17.8844629216463	20.3288997317919	22.3269207077933	16.8649940212278	21.4502904304627	20.0231476239683	15.6065068457528	16.9688315434447	17.5400413521532	18.9396774592281	22.6666580228318	21.172339242939	20.9925847732826	18.7123950192632	21.8117050930101	19.2797974498743	20.1116149930686	19.7083005506091	17.1803594591757	16.721267912271	17.1774710849253	18.4468144822857	18.0652740516109	18.0845767666216	19.6016893403184	18.7170383411676	18.4915698281818
Q8BJU0	Q8BJU0	7	7	7	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	Sgta	22.3612933893949	20.7093538611994	21.4728260986043	16.8027700295836	16.8136348169129	16.0930324385351	15.8243552199621	20.0362539239064	17.6393717705955	20.5225657202155	22.6740769503266	22.2619591956832	22.1844008574433	20.3553510201261	17.4237309780651	15.477251195632	15.053841169315	15.5256089437188	21.6549736688672	21.9396486076507	21.0699070584795	19.8543408661971	17.4638137846695	14.0150477485709	15.1621915041361	15.4214286525825	18.9968898581995	21.7342077329992	18.9000298309401	22.2938619043051	22.7013688485097	22.5020579828847	22.1279103218786	17.5965236769341	17.7252806641125	16.7833642925134
Q8R0X7	Q8R0X7	5	5	5	Sphingosine-1-phosphate lyase 1	Sgpl1	21.5303234187324	21.4336274377209	21.3444334912659	20.914737399374	18.2863338103281	20.6985393693684	20.582984021856	21.3391156058206	20.9591723967411	19.1724410926233	20.4347328189336	19.021505965006	18.0511659205879	20.9813542052457	19.5305779308684	16.9781222926927	17.6937903871686	17.6161563973422	20.5665741029624	22.3009156453982	21.4885501514888	19.0264243825867	21.1926462245877	20.5374494155952	17.2671720642976	19.6276526508467	18.126610023723	22.5773202123222	21.0087890492499	21.3429585749585	22.9490136548753	20.5297184601142	22.8422904289839	19.8067152135104	19.204779290299	19.4255917562114
Q8CG76	Q8CG76	3	3	3	Aflatoxin B1 aldehyde reductase member 2	Akr7a2	21.2265743105293	20.9578351575169	21.4374482863921	20.7481936280169	20.3627956793985	20.0854969330216	21.2404252516107	18.9500177315465	19.8079905066332	21.7574228452035	20.6793551873485	22.9248861094219	21.6702015458917	20.2828916510288	23.017920012596	19.4150966775347	17.0202055880023	19.1279699117245	20.6472083568182	21.4692065629323	21.3595446105908	17.1058176600306	19.7085070229933	20.1908149722548	19.0312828415967	20.5080652855657	21.5945367665156	21.4039501329657	21.5822385534762	21.706469892135	22.9122871145036	23.8355352914043	23.1501915365647	20.5940717233799	20.6974139175129	21.0287061430267
Q9D8T7	Q9D8T7	4	4	4	SRA stem-loop-interacting RNA-binding protein, mitochondrial	Slirp	16.7657475494184	17.3535781101781	18.2846680141041	19.9169464518896	21.9696992623634	21.1640926038369	22.4342314767453	21.924414087889	23.5651889259162	18.7394802924686	16.2619189124174	16.4372331340143	17.7717005643814	17.8493085295673	18.0978370078754	20.6666479444391	20.0641923651295	20.1347009518112	15.4738859793552	18.828909647882	16.0285651020471	20.3526753216338	21.5948878799944	21.7058941684659	20.7289691771318	21.8189289803595	23.1631211574701	18.6774451676483	20.8972842086808	19.1750516960403	21.5330455669236	20.3943175787256	17.7800363473233	21.6426877791513	21.6800105428844	20.9742583589804
P97760	P97760	3	3	3	DNA-directed RNA polymerase II subunit RPB3	Polr2c	21.7225208021785	22.5165222164281	22.9563885225819	21.002817816176	20.8087340394689	19.3369191228041	21.0716549370605	21.8466547921909	21.4751583455286	20.5394064980399	22.5519773635027	23.6548624983662	21.8396219072371	22.4102432491957	23.8295341527726	17.9831900164508	18.2131392173832	17.4270884567138	20.715587321711	21.7262152395159	21.583836982504	21.4236255679452	20.3290642151857	19.7932370596849	19.9754314891	19.9220271615504	20.8629046161832	22.4143170282643	21.1790515265929	21.5229668026243	21.9195474989343	23.382034736469	23.7907623717384	19.0335185122218	19.1370800275564	19.0907907676027
Q61550	Q61550	6	6	6	Double-strand-break repair protein rad21 homolog	Rad21	21.598718880473	23.187580386218	23.5225915096431	20.7935244352504	21.4847840974131	19.9015996413137	22.2154701515071	21.623004258511	22.8950229063163	20.6305499767323	21.5106504415043	21.8451511232276	21.974542341306	22.5638595734312	22.7856493696745	20.3740975040338	20.0643350959448	19.7658766981909	21.8456813337333	20.0262911631049	18.5776262931714	21.0085038610728	20.6541897754754	20.3629679459487	22.6936153312554	22.095765947981	20.4638112046658	20.1889594955862	17.8804706151865	16.438908308379	17.6071719777305	19.2662952103637	17.1722595282017	20.807227208461	21.5832031479838	21.356289206541
Q9D7N9	Q9D7N9	4	4	4	Adipocyte plasma membrane-associated protein	Apmap	22.1189120938697	21.9141137802338	21.4592161445663	21.9250127401476	20.7793862566925	22.3715151572103	20.7110824490463	21.3704991731029	22.5750957757303	20.4033496965082	19.5909925501087	19.0107765802342	22.6730586401036	19.1490359040558	22.2708215509797	20.9798346404245	21.0337762594966	21.2500130712775	21.4604038490606	21.8976818985556	21.4747252437391	21.0604418604322	21.6165950414796	18.9303915804834	22.943503714834	22.7687963158654	22.0905778933185	23.5735058297408	22.1275441943469	22.5175465267051	20.4998036878503	19.6180870251433	20.2304141512612	21.7402726302358	21.1543739148889	21.3954274839009
Q9CYZ2	Q9CYZ2	7	7	7	Tumor protein D54	Tpd52l2	21.4909324144363	22.6162700622389	20.9339025282292	21.3907047195752	18.4229031514732	21.0192517941499	22.8409696529658	22.8300723690354	22.5147844003073	20.3637670187293	20.671236744684	20.37693517735	20.270058934726	22.0798373342771	20.5070502132512	18.6781318160609	19.0677354400338	19.8857346060478	21.9020004458524	21.3448563858695	22.8242320901386	20.6357396519209	20.8019002815254	19.6366248203307	23.2040023493456	23.5293071627276	23.3988629491516	21.1546045581039	21.5772103920262	22.6791510281175	22.08558659015	21.6310687779372	20.4834668438282	21.0040852117447	20.0381876301177	20.0533580669498
Q9WU62	Q9WU62	4	4	4	Inner centromere protein	Incenp	20.8639403323255	22.6665923736157	22.4766230305773	21.7373549227989	21.2598977428481	20.8006444799666	20.7407353337187	21.2420959952525	22.0667400122477	22.0304624377325	22.730497392901	22.8082018868357	21.7059399201133	21.9736176544092	24.0061399579711	20.2454724275543	19.3221553906672	19.7269144055385	21.8348336962478	22.3229409641227	21.7850429962834	20.3026575320485	20.3297133618754	21.0610113715586	21.2902348552563	21.004054979129	21.1385944071704	21.6870982538448	21.1120956302856	22.2353562328694	20.4927706760856	24.0948385168191	23.0492282432544	20.9091574867325	20.3929154442468	20.0035040092353
