Protein.IDs	Majority.protein.IDs	Peptide.counts..all.	Peptide.counts..razor.unique.	Peptide.counts..unique.	Protein.names	Gene.names	con_0h_5	con_0h_6	con_0h_7	con_2h_1	con_2h_3	con_2h_4	con_6h_1	con_6h_3	con_6h_4	con_12h_1	con_12h_3	con_12h_4	con_18h_1	con_18h_3	con_18h_4	con_24h_1	con_24h_3	con_24h_4	IKA_0h_5	IKA_0h_6	IKA_0h_7	IKA_2h_1	IKA_2h_3	IKA_2h_4	IKA_6h_1	IKA_6h_3	IKA_6h_4	IKA_12h_1	IKA_12h_3	IKA_12h_4	IKA_18h_1	IKA_18h_3	IKA_18h_4	IKA_24h_1	IKA_24h_3	IKA_24h_4
P13516;P13011	P13516;P13011	4;4	4;4	4;4	Acyl-CoA desaturase 1;Acyl-CoA desaturase 2	Scd1;Scd2	19.3805336689463	22.4705091354349	19.6578330864007	18.7432683274713	18.8586415264954	19.8091474138882	15.4378234541147	19.8358011954623	18.4326482793767	17.8352346313913	20.3721511739618	22.4328673818739	16.6470465340998	20.9645776402707	19.6734560589306	16.7706483191073	18.2411943098966	18.8068539475647	18.7120634112163	22.4051826781026	21.1871726727582	21.7103449080774	19.0677289190419	22.3526615540711	18.6232334551512	19.4885685766698	19.3351386686186	16.5193031226048	16.1321174071101	16.5355689799363	18.4915116668368	17.835138845482	17.8105285601952	19.7888937270379	18.942002659466	18.7432071453665
Q8BJU0	Q8BJU0	7	7	7	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	Sgta	22.1688994184812	20.4762065248704	21.2216322729821	17.5031955287546	16.9953380990918	16.234585081035	15.5425656171096	19.6554392603142	17.5351320587299	20.4660758593526	22.7223179540657	22.3675976115743	21.8977103069317	19.894431650695	17.1194365749602	16.6317510583135	16.1826134685082	16.6469310983512	21.394727620487	21.6865598118898	21.08466872388	20.5331831588585	17.795438093088	14.3626377512478	14.6458505493831	14.9436815466911	18.6371980038335	20.8979309498278	18.2341136946235	21.4607662283492	22.7563749458474	22.2154021736552	21.7925906617101	17.7645778872699	17.9383248225187	17.0117559760288
Q8R0X7	Q8R0X7	5	5	5	Sphingosine-1-phosphate lyase 1	Sgpl1	21.3450790169236	21.1923261794361	21.0947416305025	21.7865707552549	18.4839524043166	20.8806015726737	20.2164559192941	20.9335383875618	20.8353143523623	19.1196675483945	20.4782094298883	19.1117676414535	17.8178894517572	20.5062598410891	19.1894887828985	18.2445771436055	19.0205122671283	18.888466328593	20.3194082684129	22.0436593881995	21.503605119999	19.676959277503	21.5950781752739	21.0468028067082	16.6791470345958	19.0195991130953	17.7833962649725	21.7086026150792	20.2685737290887	20.5453970498523	23.0046198030035	20.2681884674835	22.496145268745	19.9958776836474	19.4356058774098	19.6899394476014
Q8CG76	Q8CG76	3	3	3	Aflatoxin B1 aldehyde reductase member 2	Akr7a2	21.0439433307652	20.7218904015894	21.1866683181705	21.6130845866632	20.5828543906512	20.2621668787048	20.8621898724832	18.5898483777885	19.6909353614783	21.6975339499252	20.7233522529446	23.0336702749034	21.390156028737	19.8236130259249	22.6159266485016	20.8633335876191	18.2964205007431	20.5094691181589	20.3990734725597	21.2215446367034	21.3745091972771	17.690684846327	20.0827563188257	20.6915714132003	18.3831818893086	19.872737064145	21.185660417192	20.5803808184431	20.8218185414894	20.8953243721247	22.9678042731235	23.5318921907345	22.7993805360699	20.7907537797118	20.9461808178965	21.314869364801
Q9D8T7	Q9D8T7	4	4	4	SRA stem-loop-interacting RNA-binding protein, mitochondrial	Slirp	16.621497004953	17.1582103290642	18.0707699604616	20.7471867715491	22.207123621101	21.3502497650574	22.0347375896163	21.5077125224644	23.4259306498482	18.6878985044604	16.2965175111951	16.5152318067569	17.5420356457267	17.4451350999815	17.781769770799	22.2082422438633	21.5686525419519	21.588910338123	15.2879232651635	18.6117053455938	16.0397947820941	21.0485562310149	22.0049580884196	22.2442263916218	20.0230543538659	21.1429909457681	22.7245448397557	17.9587847980345	20.1609976057373	18.4585023282021	21.5852207819221	20.1345124705147	17.5106030542991	21.8493845603478	21.9405874944076	21.2596806434286
P97760	P97760	3	3	3	DNA-directed RNA polymerase II subunit RPB3	Polr2c	21.5356227564076	22.2630296539204	22.6878396585909	21.8783228148752	21.0336119623054	19.5070046557883	20.6964249075507	21.4314311417571	21.3482510867374	20.4828702817062	22.5999585901123	23.7671105795205	21.5573869590054	21.9027936268824	23.4133664628322	19.3246162259335	19.5788030900589	18.6857431380271	20.466630669868	21.4755885430841	21.5989587093683	22.156123473349	20.7150974118448	20.2841330912923	19.2951780202086	19.3048540685551	20.4678811726159	21.5518713770746	20.4328372460022	20.7186785795261	21.9726592197019	23.0841688215419	23.4302443545557	19.2152966282981	19.3670929219123	19.3505824140843
Q61550	Q61550	6	6	6	Double-strand-break repair protein rad21 homolog	Rad21	21.412886012056	22.9265330044796	23.2474190790221	21.6603050140742	21.7169680261062	20.0766520455119	21.8198718206962	21.2120313728693	22.7597249704289	20.5737628813175	21.5564161575973	21.9488116833462	21.6905638069497	22.0529315174014	22.3877124649421	21.8938694889523	21.5688059750582	21.1934481079667	21.583143390801	19.7952742491758	18.5906418561976	21.7268082874221	21.0463968549078	20.867993987231	21.9207954520354	21.4112516612755	20.0763442953693	19.4121399165172	17.2504772228959	15.8246054348826	17.6498346833194	19.0208600840041	16.9120363012651	21.0059449894271	21.8426165495263	21.6469102501241
Q9D7N9	Q9D7N9	4	4	4	Adipocyte plasma membrane-associated protein	Apmap	21.9286035434685	21.667403173514	21.2081815311691	22.8389595456928	21.0039470209542	22.5682926818519	20.3422732548113	20.964325469959	22.4416884463988	20.3471879864567	19.6326740327522	19.100987343139	22.380053131184	18.715431907476	21.8818757873518	22.5447905815859	22.6109381095595	22.7847748013603	21.2024961099997	21.6450772173791	21.4897705264608	21.7805221055205	22.027077452102	19.399888008764	22.1621740099384	22.0634319303995	21.6723093774837	22.6664575551706	21.347911100226	21.6760920167123	20.5494753267979	19.3681703901402	19.923848574142	21.9479013878494	21.408633120862	21.6865811297024
Q9CYZ2	Q9CYZ2	7	7	7	Tumor protein D54	Tpd52l2	21.3060269282531	22.3616545315927	20.6890131486421	22.2823788307158	18.6219976367726	21.2041349506462	22.4342328426623	22.3961576082214	22.3817334805168	20.307714262889	20.7152165376113	20.4736286953792	20.0081075576191	21.5798693066467	20.1489075966131	20.071396055571	20.4974789407775	21.3219626377942	21.6387856687386	21.0986289236619	22.8402228430262	21.3412988498051	21.1969122691536	20.1236366804623	22.4138014919113	22.8003825829196	22.9558230375103	20.3406294242298	20.8169675402807	21.8316575459664	22.1391006286137	21.3555085811875	20.1730665827446	21.2046830695314	20.2790311406121	20.3262485392784
Q9WU62	Q9WU62	4	4	4	Inner centromere protein	Incenp	20.6844294131875	22.4114103109119	22.2136865684557	22.6434791895509	21.4896513470347	20.9836047892238	20.3713981006171	20.8383627589326	21.9363368068159	21.9698219810362	22.778858435872	22.9164323572751	21.4254325534705	21.4760548276431	23.5868879597304	21.7556498383939	20.7709758957055	21.1516718012486	21.5724261185071	22.0654306298651	21.8003056889262	20.996828276827	20.7157588853278	21.5833497274708	20.5652064060984	20.3533612785436	20.7383509842859	20.8526341230676	20.3682404471233	21.4044468457718	20.5424252738348	23.7878921282468	22.6999472099689	21.1088487447749	20.6380225085915	20.2757160566682
